numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
500,2.0,Government Administration,nanny,28.28,Doctor,free people,medical university of south carolina,3
373,6.0,Biotechnology,research scientist,26.25,Doctor,tb alliance,university of houston,3
500,5.0,Biotechnology,scientist,16.33,Doctor,bristol myers squibb,ut southwestern medical center,3
500,2.0,Medical Practice,medical,19.25,Doctor,new york university college of dentistry,new york university college of dentistry,3
500,6.0,Law Practice,attorney,3.0,Doctor,kaufmann gildin robbins llp,villanova university charles widger school of law,3
500,1.0,Consumer Electronics,laboratory technician,21.0,Doctor,brookhaven national laboratory,university of cambridge,3
500,5.0,Legal Services,attorney,31.5,Doctor,practising law institute pli,touro university jacob d fuchsberg law center,3
500,6.0,Advertising Services,directors,73.25,MBA,newyork presbyterian hospital,stanford university graduate school of business,3
471,3.0,Research Services,research,3.66,Doctor,columbia university in the city of new york,harvard university,3
500,5.0,Strategic Management Services,lecturer,28.74,Doctor,world monuments fund,university of california los angeles,3
500,2.0,Law Practice,spring,24.23,Doctor,linklaters,georgetown university law center,3
500,1.0,Public Relations and Communications Services,host,20.24,Doctor,communicating education podcast,university of oxford department for continuing education,3
500,7.0,Telecommunications,network architect,22.83,Doctor,nokia,university of wisconsin madison,3
408,4.0,Higher Education,professor,54.83,Doctor,the graduate center city university of new york cuny,harvard university,3
500,3.0,Law Practice,attorney,35.5,Doctor,salesforce,washington university in st louis school of law,3
500,2.0,Law Practice,law,5.67,Doctor,latham watkins,st john s university school of law,3
500,6.0,Law Practice,attorney,1.75,Doctor,hunton andrews kurth llp,university of pennsylvania law school,3
500,5.0,Law Practice,attorney,10.51,Doctor,greenberg traurig llp,seton hall university school of law,3
500,5.0,Information Technology & Services,marketing consultant,57.57,Bachelor,clarifai,duke university,3
500,2.0,Financial Services,quantitative analyst,19.58,Doctor,code org,ucl,3
500,3.0,Financial Services,education,13.41,Doctor,jpmorganchase,the george washington university school of business,3
500,2.0,Law Practice,attorney,17.08,Doctor,geoffrey g gussis esq,washington university school of law,3
500,2.0,Law Practice,teaching,22.09,Doctor,harvard carr center for human rights policy,harvard law school,3
500,4.0,Pharmaceuticals,instructional designer,28.33,Doctor,daiichi sankyo inc,seton hall university,3
500,5.0,Research Services,scientist,21.08,Doctor,regeneron,seconda università degli studi di napoli,3
500,5.0,Law Practice,attorney,89.5,Doctor,university at buffalo alumni association,new york law school,3
500,2.0,Hospital & Health Care,physical therapist,4.92,Doctor,metro physical aquatic therapy,northeastern university,3
500,2.0,Entertainment,actor,81.88,Bachelor,signature theatre,harvard university,3
500,1.0,Biotechnology,research,13.24,Doctor,columbia university irving medical center,columbia university,3
500,5.0,Law Practice,counsel,21.91,Doctor,bny mellon,columbia law school,3
500,6.0,Law Practice,attorney,11.25,Doctor,slager madry llc,the university of connecticut school of law,3
500,4.0,Software Development,technical product,45.0,Master,actian,esig strasbourg,3
500,4.0,Renewable Energy Semiconductor Manufacturing,innovation,18.58,Doctor,amplo global inc,uncc learn,3
500,2.0,Research Services,quantitative analyst,9.92,Doctor,point72,columbia university,3
500,4.0,Law Practice,law,7.09,Doctor,sullivan cromwell llp,mcgill university faculty of law,3
500,4.0,Law Practice,attorney,31.76,Doctor,meta,st john s university school of law,3
500,4.0,Civil Engineering,professor,12.74,Doctor,southeast university,columbia university in the city of new york,3
500,4.0,Broadcast Media Production and Distribution,producer,19.16,Doctor,pbs news hour,university of arizona,3
500,6.0,Environmental Services,directors,40.91,Master,acgih american conference of governmental industrial hygienists,columbia university mailman school of public health,3
500,6.0,Law Practice,attorney,9.99,Doctor,latham watkins,brooklyn law school,3
425,1.0,Non-profit Organization Management,front receptionist,10.16,Doctor,weill cornell imaging at newyork presbyterian,rutgers new jersey medical school,3
386,1.0,Information Technology & Services,teaching,15.41,Doctor,barnard college,the graduate center city university of new york,3
500,2.0,Financial Services,analyst,21.24,Doctor,blue owl healthcare opportunities,purdue university outstanding graduate student award recipient the arnold kent balls award,3
500,5.0,Pharmaceuticals,systems engineering,10.66,Doctor,pfizer,arizona state university,3
500,3.0,Law Practice,counsel,14.91,Doctor,justworks,university of pennsylvania,3
500,4.0,Management Consulting,economist,11.75,Doctor,icon wirtschaftstreuhand gmbh,new york university school of law,3
500,2.0,Hospital & Health Care,nursing,27.48,Doctor,columbia university irving medical center,columbia university school of nursing,3
500,3.0,Mental Health Care,clinical,18.0,Doctor,teachers college columbia university,columbia university,3
500,5.0,Higher Education,professor,68.99,Doctor,the new school,chatham university,3
500,4.0,Law Enforcement,security guard,46.41,Master,ocean county prosecutor s office,carlow university,3
500,3.0,Biotechnology,research scientist,15.5,Doctor,proteovant therapeutics,university of kentucky,3
500,4.0,Law Practice,lawyer,14.76,Doctor,infosys,louisiana state university,3
500,3.0,Higher Education,research scientist,34.25,Doctor,dana foundation,rockefeller university,3
500,4.0,Computer Software,research scientist,5.09,Doctor,meta,cornell university,3
435,6.0,Law Practice,attorney,5.66,Doctor,rende ryan downes llp,pace university school of law,3
315,3.0,Law Practice,attorney,4.58,Doctor,the shapiro firm,fordham university school of law,3
500,5.0,Medical Practice,teacher,14.25,Doctor,columbia university,columbia university college of dental medicine,3
